Name,Position,Team,Original Owner
"Roschon Johnson","RB","CHI","94Sleeper"
"Frank Gore","RB","","94Sleeper"
"Ray Davis","RB","BUF","94Sleeper"
"Malik Washington","WR","MIA","94Sleeper"
"Xavier Worthy","WR","KC","94Sleeper"
"Jermaine Burton","WR","CIN","94Sleeper"
"Bub Means","WR","NO","94Sleeper"
"Devaughn Vele","WR","DEN","94Sleeper"
"Jacoby Brissett","QB","ARI","94Sleeper"
"Ka'imi Fairbairn","K","HOU","94Sleeper"
"Deshaun Watson","QB","CLE","94Sleeper"
"Josh Reynolds","WR","NYJ","94Sleeper"
"Kyler Murray","QB","ARI","94Sleeper"
"Dawson Knox","TE","BUF","94Sleeper"
"Jakobi Meyers","WR","LV","94Sleeper"
"Matthew Wright","K","CAR","94Sleeper"
"CeeDee Lamb","WR","DAL","94Sleeper"
"Clyde Edwards-Helaire","RB","NO","94Sleeper"
"K.J. Osborn","WR","WAS","94Sleeper"
"Cade Otton","TE","TB","94Sleeper"
"Jahan Dotson","WR","PHI","94Sleeper"
"Dameon Pierce","RB","HOU","94Sleeper"
"John Metchie","WR","HOU","94Sleeper"
"Skyy Moore","WR","KC","94Sleeper"
"Greg Dulcich","TE","NYG","94Sleeper"
"Kayshon Boutte","WR","NE","94Sleeper"
"Bijan Robinson","RB","ATL","94Sleeper"
"Dallas Cowboys","DEF","DAL","94Sleeper"
"Philadelphia Eagles","DEF","PHI","94Sleeper"
"Jonathan Mingo","WR","DAL","samdecker"
"Dalton Kincaid","TE","BUF","samdecker"
"Joe Milton","QB","DAL","samdecker"
"Michael Penix","QB","ATL","samdecker"
"Cade Stover","TE","HOU","samdecker"
"Russell Wilson","QB","NYG","samdecker"
"Alvin Kamara","RB","NO","samdecker"
"Kendrick Bourne","WR","NE","samdecker"
"Sam Darnold","QB","SEA","samdecker"
"A.J. Brown","WR","PHI","samdecker"
"Tua Tagovailoa","QB","MIA","samdecker"
"D'Andre Swift","RB","CHI","samdecker"
"Brandon Aiyuk","WR","SF","samdecker"
"Jaylen Waddle","WR","MIA","samdecker"
"Travis Etienne","RB","JAX","samdecker"
"Trey Lance","QB","LAC","samdecker"
"Joshua Palmer","WR","BUF","samdecker"
"Evan McPherson","K","CIN","samdecker"
"Brian Robinson","RB","WAS","samdecker"
"Andy Dalton","QB","CAR","samdecker"
"Jordan Mason","RB","MIN","samdecker"
"Tank Dell","WR","HOU","samdecker"
"Deuce Vaughn","RB","DAL","samdecker"
"Quentin Johnston","WR","LAC","samdecker"
"Will Levis","QB","TEN","samdecker"
"Buffalo Bills","DEF","BUF","samdecker"
"Houston Texans","DEF","HOU","samdecker"
"Kenny McIntosh","RB","SEA","JoshAllenFuksUrTeam"
"Chris Rodriguez","RB","WAS","JoshAllenFuksUrTeam"
"Xavier Legette","WR","CAR","JoshAllenFuksUrTeam"
"Luke McCaffrey","WR","WAS","JoshAllenFuksUrTeam"
"Justin Tucker","K","","JoshAllenFuksUrTeam"
"Davante Adams","WR","LAR","JoshAllenFuksUrTeam"
"Amari Cooper","WR","","JoshAllenFuksUrTeam"
"Ameer Abdullah","RB","","JoshAllenFuksUrTeam"
"Ezekiel Elliott","RB","","JoshAllenFuksUrTeam"
"Cooper Kupp","WR","SEA","JoshAllenFuksUrTeam"
"Noah Brown","WR","WAS","JoshAllenFuksUrTeam"
"Mark Andrews","TE","BAL","JoshAllenFuksUrTeam"
"Tyler Conklin","TE","LAC","JoshAllenFuksUrTeam"
"Drew Lock","QB","SEA","JoshAllenFuksUrTeam"
"Daniel Jones","QB","IND","JoshAllenFuksUrTeam"
"Terry McLaurin","WR","WAS","JoshAllenFuksUrTeam"
"Darius Slayton","WR","NYG","JoshAllenFuksUrTeam"
"Jonathan Taylor","RB","IND","JoshAllenFuksUrTeam"
"Kadarius Toney","WR","","JoshAllenFuksUrTeam"
"Wan'Dale Robinson","WR","NYG","JoshAllenFuksUrTeam"
"Alec Pierce","WR","IND","JoshAllenFuksUrTeam"
"Jalin Hyatt","WR","NYG","JoshAllenFuksUrTeam"
"C.J. Stroud","QB","HOU","JoshAllenFuksUrTeam"
"Hendon Hooker","QB","DET","JoshAllenFuksUrTeam"
"Baltimore Ravens","DEF","BAL","JoshAllenFuksUrTeam"
"New York Giants","DEF","NYG","JoshAllenFuksUrTeam"
"MarShawn Lloyd","RB","GB","JustinBondi"
"Blake Corum","RB","LAR","JustinBondi"
"Ben Sinnott","TE","WAS","JustinBondi"
"Rome Odunze","WR","CHI","JustinBondi"
"Geno Smith","QB","LV","JustinBondi"
"Adam Thielen","WR","CAR","JustinBondi"
"Marcus Mariota","QB","WAS","JustinBondi"
"Hunter Henry","TE","NE","JustinBondi"
"Tyler Higbee","TE","LAR","JustinBondi"
"Chris Godwin","WR","TB","JustinBondi"
"Cooper Rush","QB","BAL","JustinBondi"
"Younghoe Koo","K","ATL","JustinBondi"
"Baker Mayfield","QB","TB","JustinBondi"
"Mason Rudolph","QB","PIT","JustinBondi"
"David Montgomery","RB","DET","JustinBondi"
"Nico Collins","WR","HOU","JustinBondi"
"Dyami Brown","WR","JAX","JustinBondi"
"Javonte Williams","RB","DAL","JustinBondi"
"Rachaad White","RB","TB","JustinBondi"
"Cameron Dicker","K","LAC","JustinBondi"
"Brenton Strange","TE","JAX","JustinBondi"
"DeMario Douglas","WR","NE","JustinBondi"
"Jordan Addison","WR","MIN","JustinBondi"
"Kansas City Chiefs","DEF","KC","JustinBondi"
"2025 1st","PICK","","94Sleeper"
"2025 2nd","PICK","","94Sleeper"
"2025 3rd","PICK","","94Sleeper"
"2025 4th","PICK","","94Sleeper"
"2025 5th","PICK","","94Sleeper"
"2026 1st","PICK","","94Sleeper"
"2026 2nd","PICK","","94Sleeper"
"2026 3rd","PICK","","94Sleeper"
"2026 4th","PICK","","94Sleeper"
"2026 5th","PICK","","94Sleeper"
"2025 3rd","PICK","","samdecker"
"2026 1st","PICK","","samdecker"
"2026 2nd","PICK","","samdecker"
"2026 3rd","PICK","","samdecker"
"2026 4th","PICK","","samdecker"
"2026 5th","PICK","","samdecker"
"2025 2nd","PICK","","connormolloy34"
"2025 3rd","PICK","","connormolloy34"
"2025 3rd","PICK","","EricM14"
"2025 3rd","PICK","","JoshAllenFuksUrTeam"
"2025 4th","PICK","","JoshAllenFuksUrTeam"
"2025 5th","PICK","","JoshAllenFuksUrTeam"
"2026 1st","PICK","","JoshAllenFuksUrTeam"
"2026 2nd","PICK","","JoshAllenFuksUrTeam"
"2026 3rd","PICK","","JoshAllenFuksUrTeam"
"2026 4th","PICK","","JoshAllenFuksUrTeam"
"2026 5th","PICK","","JoshAllenFuksUrTeam"
"2025 2nd","PICK","","JoshAllenFuksUrTeam"
"2025 1st","PICK","","JustinBondi"
"2025 5th","PICK","","JustinBondi"
"2026 1st","PICK","","JustinBondi"
"2026 2nd","PICK","","JustinBondi"
"2026 3rd","PICK","","JustinBondi"
"2026 4th","PICK","","JustinBondi"
"2026 5th","PICK","","JustinBondi"
"2025 5th","PICK","","samdecker"
"2025 5th","PICK","","TommyFink"
